Accent Label,Speaker Label,Gender (M/F),Word,Vowel Phoneme,Class Number,Formant 1 (Hz),Formant 2 (Hz),Formant 3 (Hz)
brm_001,ajh001,M,had,AE,1,808.0372734,1466.26049,2531.229722
brm_001,ajh001,M,hood,UH,2,394.6533652,1079.159276,2990.346629
brm_001,ajh001,M,hid,IH,3,347.4279954,2370.195627,2964.605459
brm_001,ars001,M,had,AE,1,723.971229,1602.030134,2541.530978
brm_001,ars001,M,hood,UH,2,457.0373326,866.3647657,2366.222933
brm_001,ars001,M,hid,IH,3,436.5680429,1902.591752,2632.313765
brm_001,ikp001,M,had,AE,1,796.6690099,1589.599745,2668.503205
brm_001,ikp001,M,hood,UH,2,887.1561209,2427.34103,3812.209973
brm_001,ikp001,M,hid,IH,3,293.4628943,2332.984854,3073.964171
brm_001,jxs001,M,had,AE,1,897.2535524,1421.573699,2409.385194
brm_001,jxs001,M,hood,UH,2,565.3250402,1437.657325,2753.912619
brm_001,jxs001,M,hid,IH,3,418.171515,2061.939735,2685.865832
brm_001,mrs001,M,had,AE,1,753.8723642,1347.301551,2427.418764
brm_001,mrs001,M,hood,UH,2,883.0961574,2630.355996,3206.183082
brm_001,mrs001,M,hid,IH,3,388.1410549,2144.209671,2687.752605
brm_001,alw001,F,had,AE,1,948.4151288,1748.269515,2718.904818
brm_001,alw001,F,hood,UH,2,492.1622664,1204.005334,2975.933282
brm_001,alw001,F,hid,IH,3,465.9011567,2659.484515,3226.047188
brm_001,jah001,F,had,AE,1,968.5582917,1789.313504,2905.685398
brm_001,jah001,F,hood,UH,2,594.3450984,1458.653839,3039.241152
brm_001,jah001,F,hid,IH,3,512.6451218,2635.424698,3210.455715
brm_001,jep001,F,had,AE,1,1160.574311,1820.915831,2717.01692
brm_001,jep001,F,hood,UH,2,703.5148762,1569.804059,2937.697932
brm_001,jep001,F,hid,IH,3,535.7879814,2376.268427,2908.800355
brm_001,lst001,F,had,AE,1,936.7863311,1604.200288,2874.679787
brm_001,lst001,F,hood,UH,2,515.6160786,957.8607978,3029.402002
brm_001,lst001,F,hid,IH,3,557.4724341,2431.608447,3086.019416
